,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
59,When We Disco (Duet with SUNMI),spotify:track:6t9nnPyEZfjcn1aLJ4l9AK,When We Disco,spotify:album:1PllJjUqafNlQ23eBqs511,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,8/12/20,62,224387
122,FEVER,spotify:track:0x9Vpw90j9fDb669IydnHL,FEVER,spotify:album:3pQEo2pmo1vKTkWbSbldBB,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,12/1/19,51,173925
37,어머님이 누구니 (Who's your mama?) (Feat. Jessi),spotify:track:7Hjmz2XTMCuFvKBSfvrtC5,24/34,spotify:album:7cPUxsJL1nMh87bld2LyTo,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/12/15,49,221122
113,Swing Baby,spotify:track:2KE1HBXLwwZvoL0uWrlFZQ,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,6/7/01,48,247643
156,When We Disco,spotify:track:46gLZeEcuZwadJseEwFDVT,When We Disco,spotify:album:4Zn6LcHSE0hQgHjAT7Ob5a,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,8/12/20,43,224387
88,Who's your mama?,spotify:track:0Gb7sqyGqYZh88rbG07Nmw,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,42,221960
90,FEVER,spotify:track:42uEOrIxSGNgApsrdWILDX,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,10/7/20,39,175586
157,너뿐이야 You're the One,spotify:track:6hBsc4eltDQwjNhRCNZBQ2,Spring - 5 Songs for a New Love,spotify:album:5Ami0gmp8cK6rj6q0vrD8z,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/29/12,34,202249
105,살아있네 Still Alive,spotify:track:7iJs3g5WOUjQBBuwfOPqmR,Still Alive,spotify:album:4ueWIlgAiwx4JyAHBCXOwt,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/10/16,34,174953
7,"Fire (feat. Conan O'Brien, Steven Yeun, 박지민 Jimin Park)",spotify:track:0udhVlaFTeXvlmYWaFo66D,Still Alive,spotify:album:4ueWIlgAiwx4JyAHBCXOwt,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,4/10/16,32,185886
