,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
0,Delicious (Your Lips),spotify:track:5CkAYc5Y3leBLK6Wd59It0,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,12,214786
1,뒹굴뒹굴,spotify:track:0otd8yQz0lUg2lAVKqSWNl,Halftime,spotify:album:5p7fn6NyIiI1fhkh9mQlT0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,0,203719
2,살아있네 Still Alive,spotify:track:4ERsViP3OTdJ9qIwpsUSTj,Still Alive,spotify:album:5HiT4lbTgn7VKDAX5Lecql,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2016-04-10,23,174953
3,Still Alive,spotify:track:2uDbAd6taMMeoyOAc9leBU,J.Y. Park BEST (Selected Edition),spotify:album:38rFlt6IxeZXsxPb7PcMn5,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2020-10-07,26,177733
4,Rewind,spotify:track:6fHcZvUm9G76hlLG3PjAfL,Sad Freedom,spotify:album:2OCK4oigskg6ZQ9mBm9zii,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2009-12-01,5,235441
5,방문을 닫으면 (Behind closed doors),spotify:track:6dmNuJysRUqX2CDA4q2MGs,24/34,spotify:album:7cPUxsJL1nMh87bld2LyTo,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-04-12,14,215955
6,위험한 장난,spotify:track:0mnP50PPZLrZm7tOTmui7N,Back To Stage,spotify:album:0R52ET7vG1Hy7eGouTxCve,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,5,199613
7,"Fire (feat. Conan O'Brien, Steven Yeun, 박지민 Jimin Park)",spotify:track:0udhVlaFTeXvlmYWaFo66D,Still Alive,spotify:album:4ueWIlgAiwx4JyAHBCXOwt,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2016-04-10,32,185886
8,엇갈렸어 (Feat. T 윤미래),spotify:track:40nGrvrNoQlspovlWh8Acq,Back To Stage,spotify:album:41h8n1l24t2dq0N2e5lsll,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,1,242320
9,Criss Cross,spotify:track:1kXDAC69E08pLYxyFRcLgn,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,10,242320
10,어머님이 누구니 (Who's your mama?) (Inst.),spotify:track:7HiRW59LTFDQwRtWagXxcD,24/34,spotify:album:1nu6x7zCj1VjrMVXLVBAwb,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-04-12,13,221122
11,너뿐이야 You're the One (Happy Ending Ver.),spotify:track:0CTp3mhxg85yaF5sdFIZrS,Halftime,spotify:album:6McpH5i1BG1DEcRxXDq432,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2013-09-09,8,258552
