,Artist,ID,Type,Gender,Generation,DebutYear
0,Seo Taiji and Boys,spotify:artist:52Gsa9Zypqztm2DeNkQfCm,group,male,1.0,1992
1,H.O.T.,spotify:artist:5JrfgZAgqAMywJpLpJM0eS,group,male,1.0,1996
2,SECHSKIES,spotify:artist:6uRyNreOHUvWPNGnKfIo27,group,male,1.0,1997
3,NRG,spotify:artist:7xrfnodwPKuIxS9JuUECaf,group,male,1.0,1997
4,Baby VOX,spotify:artist:7H5LMtjHqkyH4U8dpLR4lo,group,female,1.0,1997
5,S.E.S,spotify:artist:61HUG80Xma4rnXsqfZkzeM,group,female,1.0,1997
6,Diva,spotify:artist:0CI6MkDddUbiuI8T7V5ZcF,group,female,1.0,1997
7,Fin.K.L,spotify:artist:2aRLyjYp7WPr4EkjkI1gvS,group,female,1.0,1998
8,SHINHWA,spotify:artist:0jVvkFPa6YbFXQ3Qmhita0,group,male,1.5,1998
9,Eagle Five,spotify:artist:4vkr97RLtHtBPFUHdBqADe,group,male,1.5,1998
10,1TYM,spotify:artist:0P8IEJrM7oUTK4WwdMKsvS,group,male,1.5,1998
11,god,spotify:artist:1nTCpd63NkuGGpCIbo4Ywl,group,male,1.5,1999
12,Click-B,spotify:artist:2kOGSFThgEzPEjL4fFB25w,group,male,1.5,1999
13,BoA,spotify:artist:4muJrGMndyYWqZtfk8OWy4,solo,female,1.5,2000
14,Jewelry,spotify:artist:01iyQzyns6Ab0LxjYvHcg9,group,female,1.5,2001
15,Rain,spotify:artist:5L4EafeXwZ0stGuPtGr5Tz,solo,male,1.5,2002
16,Realslow,spotify:artist:7luxe2wCwtDtkKSP8ZhPLn,solo,male,1.5,2002
17,SE7EN,spotify:artist:14yLuCwlBqteUdBqx9soJV,solo,male,1.5,2003
18,Lexy,spotify:artist:5C9rYLjMoYuwbbM34ReBU5,solo,female,1.5,2003
19,TVXQ!,spotify:artist:6nVMMEywS5Y4tsHPKx1nIo,group,male,2.0,2004
20,SUPER JUNIOR,spotify:artist:6gzXCdfYfFe5XKhPKkYqxV,group,male,2.0,2005
21,SS501,spotify:artist:6rmMpoeu2SIV4OLURCOn2e,group,male,2.0,2005
22,Paran,spotify:artist:5ftRsrMP4ff6qANAuNfyUo,group,male,2.0,2005
23,CSJH The Grace,spotify:artist:5KsQApoJGpsjbmuiRIFWQ1,group,female,2.0,2005
