song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
life goes on,spotify:track:249gnXrbfmV8NG6jTEMSwD,be,spotify:album:2qehskW9lYGWfYb0xPZkrS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,11/20/20,94,207481,0.0069099999999999995,0.5660000000000001,0.716,0.0,1.0,0.37,-5.733,1.0,0.0424,81.068,4.0,0.45
dynamite,spotify:track:4saklk6nie3yiGePpBwUoc,be,spotify:album:2qehskW9lYGWfYb0xPZkrS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,11/20/20,92,199053,0.0112,0.746,0.765,0.0,6.0,0.0936,-4.41,0.0,0.0993,114.044,4.0,0.737
blue & grey,spotify:track:0n2moJpAEWHwaPYYjkzMDl,be,spotify:album:2qehskW9lYGWfYb0xPZkrS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,11/20/20,87,254950,0.42,0.547,0.605,0.0,8.0,0.125,-6.755,1.0,0.0415,121.95299999999999,4.0,0.364
how you like that,spotify:track:4SFknyjLcyTLJFPKD2m96o,the album,spotify:album:71O60S5gIJSIAhdnrDIh3N,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,10/2/20,86,180946,0.0375,0.812,0.8,0.00011200000000000001,11.0,0.0638,-4.282,1.0,0.077,130.036,4.0,0.35700000000000004
fly to my room,spotify:track:3QH8rQGNFX8VLbCgZ7uPTS,be,spotify:album:2qehskW9lYGWfYb0xPZkrS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,11/20/20,86,222242,0.0484,0.764,0.526,0.0,11.0,0.0718,-7.355,1.0,0.212,114.91,4.0,0.588
i can't stop me,spotify:track:37ZtpRBkHcaq6hHy0X98zn,eyes wide open,spotify:album:33jypnU7WULxPaVrjj4RXH,twice,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,10/26/20,86,205493,0.121,0.657,0.88,0.0,10.0,0.46299999999999997,-3.6719999999999997,0.0,0.102,150.084,4.0,0.769
dis-ease,spotify:track:54DmTIv86D3sYdiawjULQ0,be,spotify:album:2qehskW9lYGWfYb0xPZkrS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,11/20/20,85,239722,0.0132,0.731,0.845,0.0,8.0,0.0782,-5.352,1.0,0.132,101.085,4.0,0.484
stay,spotify:track:3ndCsZfq8OVwwkz9mmZvUz,be,spotify:album:2qehskW9lYGWfYb0xPZkrS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,11/20/20,85,204800,0.114,0.5820000000000001,0.693,0.0,6.0,0.13,-5.048,1.0,0.0465,125.904,4.0,0.341
telepathy,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,be,spotify:album:2qehskW9lYGWfYb0xPZkrS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,11/20/20,85,202313,0.00782,0.787,0.669,0.0,5.0,0.12300000000000001,-4.333,0.0,0.0428,104.994,4.0,0.57
boy with luv (feat. halsey),spotify:track:5KawlOMHjWeUjQtnuRs22c,map of the soul : persona,spotify:album:1AvXa8xFEXtR3hb4bgihIK,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,4/12/19,84,229773,0.0923,0.645,0.862,0.0,11.0,0.192,-4.757,0.0,0.0965,119.991,4.0,0.7979999999999999
lovesick girls,spotify:track:4Ws314Ylb27BVsvlZOy30C,the album,spotify:album:71O60S5gIJSIAhdnrDIh3N,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,10/2/20,84,192760,0.006679999999999999,0.6579999999999999,0.733,0.0,6.0,0.11800000000000001,-4.756,1.0,0.0586,127.977,4.0,0.46399999999999997
savage love (laxed – siren beat) [bts remix],spotify:track:4TgxFMOn5yoESW6zCidCXL,savage love (laxed - siren beat) [bts remix],spotify:album:5O6izFQ2veRaZOcQSyOi4o,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,10/2/20,84,184905,0.16,0.758,0.598,0.0,0.0,0.295,-5.695,0.0,0.0868,149.836,4.0,0.6579999999999999
black mamba,spotify:track:1t2qYCAjUAoGfeFeoBlK51,black mamba,spotify:album:3syEYrKIsgxaZMB5t1dVG7,aespa,spotify:artist:6YVMFz59CuY7ngCxTxjpxE,11/17/20,82,174933,0.0618,0.52,0.915,0.0009460000000000001,2.0,0.0856,-2.862,1.0,0.10300000000000001,90.069,4.0,0.5
pretty savage,spotify:track:1XnpzbOGptRwfJhZgLbmSr,the album,spotify:album:71O60S5gIJSIAhdnrDIh3N,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,10/2/20,82,199120,0.00657,0.695,0.583,8.75e-05,9.0,0.10400000000000001,-6.575,0.0,0.0423,152.001,4.0,0.382
on,spotify:track:2QyuXBcV1LJ2rq01KhreMF,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,81,246380,0.11800000000000001,0.583,0.8170000000000001,0.0,9.0,0.33799999999999997,-5.146,0.0,0.0987,105.936,4.0,0.43799999999999994
maria,spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK,maría,spotify:album:5YYY7QCkq3pSw4Hoc1m0D3,hwa sa,spotify:artist:7bmYpVgQub656uNTu6qGNQ,6/29/20,81,199026,0.23800000000000002,0.6579999999999999,0.7490000000000001,2.03e-06,9.0,0.272,-2.967,0.0,0.0634,128.909,4.0,0.442
mmmh,spotify:track:5dntGTbUtmUO239wQ0k3yM,kai - the 1st mini album,spotify:album:6xpxMAUhk8hiDTa5zT7F86,kai,spotify:artist:6iVo62B0bdTknRcrktCmak,11/30/20,80,192346,0.20199999999999999,0.659,0.718,1.01e-06,7.0,0.2,-5.607,0.0,0.0507,136.96,4.0,0.297
ice cream (with selena gomez),spotify:track:4JUPEh2DVSXFGExu4Uxevz,the album,spotify:album:71O60S5gIJSIAhdnrDIh3N,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,10/2/20,80,175813,0.0374,0.785,0.7190000000000001,0.00010800000000000001,4.0,0.0519,-3.886,1.0,0.354,159.953,4.0,0.887
ice cream (with selena gomez),spotify:track:2J4P46vCFm1rPkNkp9pZWX,ice cream (with selena gomez),spotify:album:2VBb4LRcRSACOfJWRUgVZl,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,8/28/20,80,175813,0.0342,0.79,0.7290000000000001,9.31e-05,9.0,0.0411,-3.843,1.0,0.33399999999999996,159.989,4.0,0.904
kill this love,spotify:track:18PergoIrGmRyeYxnaXJN2,kill this love,spotify:album:7viSsSKXrDa95CtUcuc1Iv,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,4/5/19,80,189052,0.32,0.738,0.861,0.00175,2.0,0.325,-4.141,1.0,0.237,131.974,4.0,0.58
psycho,spotify:track:3CYH422oy1cZNoo0GTG1TK,‘the reve festival’ finale,spotify:album:3rVtm00UfbuzWOewdm4iYM,red velvet,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,12/23/19,80,210560,0.193,0.664,0.6659999999999999,0.0,8.0,0.0854,-2.2030000000000003,1.0,0.0446,139.987,4.0,0.405
blue hour,spotify:track:3ObPkJQAgjAhTwYvDhPrAW,minisode1 : blue hour,spotify:album:2DDNDdePEx9R0bBwRqahdr,tomorrow x together,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,10/26/20,79,209105,0.00962,0.71,0.82,0.0,3.0,0.0871,-4.362,0.0,0.0836,112.005,4.0,0.746
filter,spotify:track:0ono6UCNVZ1XqOm6j78Blu,map of the soul : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2/21/20,79,180220,0.0222,0.7809999999999999,0.762,0.0,10.0,0.121,-5.188,0.0,0.0626,110.042,4.0,0.86
ddu-du ddu-du,spotify:track:2aI2k39nfa3KFsa4JclQzw,square up,spotify:album:2zwfcNqJe7IT1RwgVyv1ug,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,6/15/18,79,209355,0.0323,0.6709999999999999,0.8590000000000001,0.0,4.0,0.267,-3.9219999999999997,0.0,0.0833,139.931,4.0,0.389
cry for me,spotify:track:2xtP8RNbo2BEMzLX7tK7aq,cry for me,spotify:album:2aRAPmBCEdo9pWimsI5l87,twice,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,12/18/20,79,204167,0.0542,0.7020000000000001,0.6920000000000001,0.0,10.0,0.0877,-5.405,1.0,0.0539,144.89600000000002,4.0,0.419
stay gold,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,map of the soul : 7 ~ the journey ~,spotify:album:1nScVw87kRJiT2bg2Kswhp,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,7/14/20,79,243266,0.0892,0.723,0.634,0.0,1.0,0.0787,-5.415,1.0,0.0542,129.017,4.0,0.5820000000000001
eight(prod.&feat. suga of bts),spotify:track:0pYacDCZuRhcrwGUA5nTBe,eight,spotify:album:5vJNAlQeTf9lsulO1YlmSt,iu,spotify:artist:3HqSLMAZ3g3d5poNaI7GOU,5/6/20,79,167573,0.115,0.6759999999999999,0.8690000000000001,0.0,1.0,0.132,-1.5730000000000002,1.0,0.0423,120.029,4.0,0.594
skit,spotify:track:4GVwjLRT7oSsKby7Vy8EHr,be,spotify:album:2qehskW9lYGWfYb0xPZkrS,bts,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,11/20/20,79,179547,0.8640000000000001,0.703,0.321,0.0,4.0,0.9079999999999999,-13.135,1.0,0.884,114.822,4.0,0.544
bet you wanna (feat. cardi b),spotify:track:7iAgNZdotu40NwtoIWJHFe,the album,spotify:album:71O60S5gIJSIAhdnrDIh3N,blackpink,spotify:artist:41MozSoPIsD1dJM0CLPjZF,10/2/20,78,159173,0.00386,0.665,0.674,0.0,7.0,0.0734,-5.188,1.0,0.161,111.516,4.0,0.7020000000000001
not shy,spotify:track:4ecVWqbtW6phQGpZMAyqIU,not shy,spotify:album:0aqu2V5ohKHVfWqVFE7Ila,itzy,spotify:artist:2KC9Qb60EaY0kW4eH68vr3,8/17/20,78,177728,0.155,0.7759999999999999,0.9109999999999999,2.59e-06,2.0,0.268,-3.08,0.0,0.131,101.027,4.0,0.56
back door,spotify:track:7I0vl97TYZW86qYdgcD1qu,in life,spotify:album:1fOJ6SHLXOLnsuuwiLyzft,stray kids,spotify:artist:2dIgFjalVxs4ThymZ67YCE,9/14/20,78,189286,0.157,0.82,0.8420000000000001,0.0,7.0,0.11199999999999999,-3.853,1.0,0.272,107.95200000000001,4.0,0.653
wannabe,spotify:track:6tCssnvTUREcperDOUTqvA,it'z me,spotify:album:2gertXS08whDTzBWfmewPO,itzy,spotify:artist:2KC9Qb60EaY0kW4eH68vr3,3/9/20,78,191242,0.00795,0.809,0.9109999999999999,0.00017900000000000001,6.0,0.18100000000000002,-4.41,0.0,0.0617,122.035,4.0,0.64
