Artist_uri,Artist,ArtistType,ArtistGender,ArtistGen,ArtistDebut,song_name,song_uri,album,album_uri,release_date,popularity,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_mmss
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,love story,spotify:track:04VuGhQMjyrVVYjtLzQYCV,dream come true,spotify:album:4VJm1ACYySpqYJIWlcPh0B,2012-03-27T04:00:00Z,28,262.034,0.147,0.638,0.775,0,11,0.761,-3.373,1,0.0491,93.959,4,0.586,04:22
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,i love you,spotify:track:5qKAPmk4y4bMqMb4nIK9uX,dream come true,spotify:album:4VJm1ACYySpqYJIWlcPh0B,2012-03-27T04:00:00Z,12,228.483,0.176,0.761,0.938,0,6,0.0645,-6.093,0,0.0884,160.123,4,0.966,03:48
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,variety,spotify:track:6fWJY0CsXqn3vm0RzU7F4v,dream come true,spotify:album:4VJm1ACYySpqYJIWlcPh0B,2012-03-27T04:00:00Z,6,143.808,0.0774,0.719,0.956,8.58e-05,5,0.426,-4.574,0,0.112,94.061,4,0.956,02:23
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,step,spotify:track:4cARnmpAHfUNj23dfenBUu,dream come true,spotify:album:4VJm1ACYySpqYJIWlcPh0B,2012-03-27T04:00:00Z,4,172.29,0.527,0.621,0.903,0.00026,11,0.105,-2.602,1,0.278,164.995,4,0.829,02:52
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,everybody,spotify:track:2NyyEWzSXIFkCmm4gFPmrr,dream come true,spotify:album:4VJm1ACYySpqYJIWlcPh0B,2012-03-27T04:00:00Z,3,204.308,0.0316,0.637,0.971,0.00191,7,0.21,-5.458,1,0.101,144.053,4,0.695,03:24
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,make up,spotify:track:3BXtv6q4Sg0MfZXSRLAk8p,dream come true,spotify:album:4VJm1ACYySpqYJIWlcPh0B,2012-03-27T04:00:00Z,3,269.59,0.195,0.58,0.486,0,8,0.131,-7.636,1,0.03,65.995,4,0.207,04:29
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,twenty,spotify:track:5uVXd0kyzNTRiHjBKnVuUO,dream come true,spotify:album:4VJm1ACYySpqYJIWlcPh0B,2012-03-27T04:00:00Z,3,207.49,0.172,0.46,0.786,0,8,0.0964,-3.957,1,0.114,95.832,4,0.696,03:27
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,날개,spotify:track:3D3NlaICx9kRTCY6cl7dkw,dream come true,spotify:album:6cQRDp5L7DrHH9oEkv2ng7,2011-12-22T05:00:00Z,1,231.262,0.828,0.591,0.395,1.62e-06,3,0.111,-5.416,1,0.0278,110.752,4,0.258,03:51
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,drip,spotify:track:48cTvabWrKgvAf48CWN6mx,from love,spotify:album:6lmAA1d9S1QNJEMpdPhJD6,2020-09-17T04:00:00Z,0,139.952,0.00213,0.826,0.456,0.898,5,0.201,-9.387,0,0.166,145.944,4,0.266,02:19
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,cosmo dancing(rehabiremix),spotify:track:74xliKuCu9Q18WXcxtVz2l,cosmo dancing(rehabiremix),spotify:album:4Koszt7gLzM0PF41QzNhh4,2017-09-12T04:00:00Z,0,301.96,0.142,0.692,0.851,1.5e-06,9,0.063,-7.57,1,0.0594,120.023,4,0.284,05:01
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,ablive,spotify:track:0P65Ml5WnHQWuPDcypl9ZJ,from love,spotify:album:6lmAA1d9S1QNJEMpdPhJD6,2020-09-17T04:00:00Z,0,174.25,0.0298,0.761,0.369,0.877,7,0.0727,-18.109,0,0.1,134.984,4,0.338,02:54
spotify:artist:01iyQzyns6Ab0LxjYvHcg9,Jewelry,group,female,1,2001,no stress,spotify:track:014sxBEPA6SA6ML1XUyCYB,from love,spotify:album:6lmAA1d9S1QNJEMpdPhJD6,2020-09-17T04:00:00Z,0,149.774,0.419,0.733,0.286,0.887,7,0.0909,-16.138,1,0.25,89.98,4,0.477,02:29
