,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
1,永遠,spotify:track:104yjVsAOGHnYEKmYEjNAI,BEST&USA,spotify:album:6rxKoQYvB6DO6pIL9sijT8,BoA,spotify:artist:4muJrGMndyYWqZtfk8OWy4,2009-03-18,39,273453
5,Heroinea (시선),spotify:track:3mZuzKtbHuqJq3JA8MtIYs,Girls On Top,spotify:album:67YeE0goB48IGXMrlv50D6,BoA,spotify:artist:4muJrGMndyYWqZtfk8OWy4,2005-06-24,10,188720
8,In I,spotify:track:0w4cGYwo4SqjOO8kTbKsOT,Resurrection - The 3rd Album,spotify:album:0yJ02boB03UsjObzoXJ5O4,H.O.T.,spotify:artist:5JrfgZAgqAMywJpLpJM0eS,1998-09-01,10,321906
9,Lately,spotify:track:1kQ6COziaUskeO2vgR6o8w,Golden Child 1st Album Repackage [Without You],spotify:album:2iNuqI81QpukRsKAmEIJeF,Golden Child,spotify:artist:5zShiwTHlygdfsXj6eavTu,2020-01-29,28,205640
11,Louder,spotify:track:3VMIzuJihoqsgtVDnFB573,Not Shy,spotify:album:7GiJLfFllsMNTwMZlFxzIK,ITZY,spotify:artist:2KC9Qb60EaY0kW4eH68vr3,2020-08-17,41,201054
16,Good Day,spotify:track:2aTDPjGFdyBfc3lKLAAaoI,Youth,spotify:album:442zUwKHCTO47XPF7cUSqY,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2016-09-07,55,267506
17,왜 이러니,spotify:track:4zDAdGsgROpRC9G24kzv7P,Vol.2 Temptastic,spotify:album:6Ey5ni9IyN6H3mNAO6dHmX,T-ARA,spotify:artist:1R52cwGf75yTf7I3Q0Irf8,2010-12-01,24,239613
19,Outro: Love Is Not Over,spotify:track:4gxEQo2DrlZhyEn9CLe6rU,The Most Beautiful Moment in Life Pt.1,spotify:album:0Gv6nwfgk6Cy62j0GGITQc,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2015-04-29,55,143862
21,세가지 소원 Wish Tree,spotify:track:3wtDVPGUMTHgsVdpr9uYin,세가지 소원 Wish Tree - WINTER GARDEN,spotify:album:69a7YNzhApHfLFwHvPkCso,Red Velvet,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,2015-12-18,50,238786
23,Easy - Sincere Ver.,spotify:track:29qMn9QsN7QlbU7ilxMPLh,Bad Girl,spotify:album:0x4t5RuG1mwgtCJcJEeCVq,Beast,spotify:artist:1Pr9gT0veB2tgcisQeIGoC,2011-06-15,0,211080
