,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
6119,How You Like That,spotify:track:4SFknyjLcyTLJFPKD2m96o,THE ALBUM,spotify:album:71O60S5gIJSIAhdnrDIh3N,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-10-02,86,180946
1709,Lovesick Girls,spotify:track:4Ws314Ylb27BVsvlZOy30C,THE ALBUM,spotify:album:71O60S5gIJSIAhdnrDIh3N,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-10-02,84,192760
5253,Pretty Savage,spotify:track:1XnpzbOGptRwfJhZgLbmSr,THE ALBUM,spotify:album:71O60S5gIJSIAhdnrDIh3N,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-10-02,82,199120
1882,Maria,spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK,María,spotify:album:5YYY7QCkq3pSw4Hoc1m0D3,Hwa Sa,spotify:artist:7bmYpVgQub656uNTu6qGNQ,2020-06-29,81,199026
3217,Ice Cream (with Selena Gomez),spotify:track:4JUPEh2DVSXFGExu4Uxevz,THE ALBUM,spotify:album:71O60S5gIJSIAhdnrDIh3N,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-10-02,80,175813
6521,Mmmh,spotify:track:5dntGTbUtmUO239wQ0k3yM,KAI - The 1st Mini Album,spotify:album:6xpxMAUhk8hiDTa5zT7F86,KAI,spotify:artist:6iVo62B0bdTknRcrktCmak,2020-11-30,80,192346
1013,Ice Cream (with Selena Gomez),spotify:track:2J4P46vCFm1rPkNkp9pZWX,Ice Cream (with Selena Gomez),spotify:album:2VBb4LRcRSACOfJWRUgVZl,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-08-28,80,175813
5453,Kill This Love,spotify:track:18PergoIrGmRyeYxnaXJN2,KILL THIS LOVE,spotify:album:7viSsSKXrDa95CtUcuc1Iv,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2019-04-05,80,189052
5150,DDU-DU DDU-DU,spotify:track:2aI2k39nfa3KFsa4JclQzw,SQUARE UP,spotify:album:2zwfcNqJe7IT1RwgVyv1ug,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2018-06-15,79,209355
4213,Bet You Wanna (feat. Cardi B),spotify:track:7iAgNZdotu40NwtoIWJHFe,THE ALBUM,spotify:album:71O60S5gIJSIAhdnrDIh3N,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-10-02,78,159173
5904,Love To Hate Me,spotify:track:7iKDsPfLT0d5mu2htfMKBZ,THE ALBUM,spotify:album:71O60S5gIJSIAhdnrDIh3N,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-10-02,77,169800
4807,Crazy Over You,spotify:track:7qq0EOPW4RRlqdvMBmdd73,THE ALBUM,spotify:album:71O60S5gIJSIAhdnrDIh3N,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-10-02,77,161946
3169,Sour Candy (with BLACKPINK),spotify:track:6R6ZoHTypt5lt68MWbzZXv,Sour Candy (with BLACKPINK),spotify:album:6y6lP1WRfqEhv8RLy4ufZB,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,2020-05-28,77,157706
5256,Sour Candy (with BLACKPINK),spotify:track:1IWNylpZ477gIVUDpJL66u,Chromatica,spotify:album:05c49JgPmL4Uz2ZeqRx5SP,Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,2020-05-29,76,157706
3746,SOLO,spotify:track:2wVDWtLKXunswWecARNILj,SOLO,spotify:album:7qAJpYeABXN9ZV5wOOX59k,JENNIE,spotify:artist:250b0Wlc5Vk0CoUsaCY84M,2018-11-12,75,169566
4530,Dream of You (with R3HAB),spotify:track:5SEvxpu5ImOFOcXyeM8fbx,Dream of You (with R3HAB),spotify:album:7v5VyW176u5m9aNcnvs2Cv,CHUNG HA,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,2020-11-26,75,192735
6092,You Never Know,spotify:track:39kzWAiVPpycdMpr745oPj,THE ALBUM,spotify:album:71O60S5gIJSIAhdnrDIh3N,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2020-10-02,74,229213
302,What Do I Call You,spotify:track:3Wu4lFjkhcXxB6WWaX9gtr,What Do I Call You - The 4th Mini Album,spotify:album:70XJeDlFe1LmZo1lyFKyq3,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2020-12-15,74,167746
476,Gangnam Style (강남스타일),spotify:track:03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일),spotify:album:0ZjxizLeMyFEjR27JIvD99,PSY,spotify:artist:2dd5mrQZvg6SmahdgVKDzh,2012-01-01,74,219493
6271,Candy,spotify:track:6kKC35sKUh2FUx4M0qAL44,Delight - The 2nd Mini Album,spotify:album:75sPv82oaDKYjtuuS4l3Vc,BAEKHYUN,spotify:artist:4ufh0WuMZh6y4Dmdnklvdl,2020-05-25,73,227173
6523,BOOMBAYAH,spotify:track:13MF2TYuyfITClL1R2ei6e,SQUARE ONE,spotify:album:0FOOodYRlj7gzh7q7IjmNZ,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2016-08-08,72,240793
1598,Forever Young,spotify:track:56bHclo7YNvpujMveLElQn,SQUARE UP,spotify:album:2zwfcNqJe7IT1RwgVyv1ug,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2018-06-15,72,237076
