,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
0,Second confession,spotify:track:3gJp5iMDX2yM0PN9CXrHBF,Second confession,spotify:album:37qwQFW0AB3WMmFwEhC8xN,BTOB,spotify:artist:2hcsKca6hCfFMwwdbFvenJ,2013-04-10,42,234057
1,Already Knew It At First Sight,spotify:track:1wItR3ubDiEt4qeu1B1gj5,Cross & Change (3),spotify:album:16umVrTmaWQUL3uXJ8FfG4,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-07-16,9,221112
2,Bad Woman,spotify:track:2DGKTUZ3ywykT9hcqiYgR6,Jump Up,spotify:album:1VUYlrA1ZIGsmIGPsiwK2C,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-02-11,38,232866
3,Tuk Tok,spotify:track:7vUfa4N3xlSuxn7OWDSslg,Page Two,spotify:album:78YI3q126L1plYhXxn7rUL,TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,2016-04-25,39,196453
4,For KISS Me Instrumental,spotify:track:06l4OKBKAw4eWMdvXcVyon,For KISS Me,spotify:album:5hFKWhPn9M0BtjYegy8Q2e,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,2011-12-22,0,241005
5,Always Be Mine,spotify:track:0Zv03w5WIOKKSOei19EWV9,Japan Special Album Vol.1,spotify:album:69HCDHFtTqiCAg8qen5YC6,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2010-04-14,14,340488
6,Always With You,spotify:track:3QT413zG0ESxl4fsHdHvgx,THANKS TO,spotify:album:38ZDY8JrXknqQ85paMmnJo,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2013-09-23,13,211380
7,In My Head,spotify:track:5er3DLeyd1BY5Amcea2340,EAR FUN,spotify:album:1T6afD49NhOiQVSc4Srwtk,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2012-03-16,30,254432
8,I Confess,spotify:track:2SEUyfGwcVgTQaU2ctBYfP,Return,spotify:album:4xmzNUdwf9Fi0gJOQrOK70,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2011-05-24,33,229825
9,"Y, Why…",spotify:track:2LI6KrgsVFO9wFZnxFwd6u,Bluetory,spotify:album:6uXXlobOpwaecX1eNZtW4O,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2010-01-14,30,225175
10,Let me know,spotify:track:0FhS0sXHvOLDoaaNqVoFwu,Hey Yah (Type B),spotify:album:5CuoCOVjS4dZ0BRACsgNDe,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2016-11-16,21,197493
11,Whatcha Doin',spotify:track:1kfEJ0w6qRZR9dIOWJGe0J,Whatcha Doin',spotify:album:5ZqrNpvlfW0qeZ6bDCjmaU,YESUNG,spotify:artist:4hyF8Vtc73RYJr3RgTE2Zf,2018-12-17,43,209808
12,Marry Me,spotify:track:7mHREvwmwsxD4cNLRjh4nq,Double Date,spotify:album:2i5P0S9yPQHtWqaaz6ORhr,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-10-26,7,215016
13,Replay - Boom Track,spotify:track:76Gfp5BVRC4MBVzfIlxdXe,Replay - The First Mini Album,spotify:album:2zarKiOQYtJ9PGWxYxUOk5,SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR,2008-05-22,23,267186
14,My Miracle,spotify:track:0CMgXmHPRGAYM2asQGPQcz,PRESENT,spotify:album:5g3gHqqV7Z15in7Fv1QhQ0,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2013-11-26,17,237484
15,YOUNG - Instrumental,spotify:track:1jx0B1x63lq8WzkDESZAIA,YOUNG,spotify:album:5XN0VfKWEWpxhjcks8MGLe,Loco,spotify:artist:2e4G04F77jxVuDYo44TCSm,2018-08-31,22,229666
16,SAY NO MORE,spotify:track:3vFAa5RYxyZmxTuV0YE9Em,CLOSER,spotify:album:08iyrLkLFP2ByBkqVhBls7,OH MY GIRL,spotify:artist:2019zR22qK2RBvCqtudBaI,2015-10-08,19,186746
17,Hello Hello,spotify:track:6H6J8V8NXmXHLDp1AICHhk,Return,spotify:album:4xmzNUdwf9Fi0gJOQrOK70,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2011-05-24,41,195970
18,따라와 Follow Me,spotify:track:6ZlKtp4puJ29BmRCsni2Lo,Got It?,spotify:album:7E3W9C5Ac3RKnFpKErEgGD,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2014-01-20,38,188850
19,Girls Girls Girls,spotify:track:4CF7kR9MIRiuYG2pqr1IOh,Got It?,spotify:album:7E3W9C5Ac3RKnFpKErEgGD,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2014-01-20,40,213884
20,Blind,spotify:track:26AqSoEgtHfqpWIwj7uuVk,THE CLAN pt.2 <GUILTY>,spotify:album:2aYSiytcrXyVj6ADo6Z7Cl,Monsta X,spotify:artist:4TnGh5PKbSjpYqpIdlW5nz,2016-10-04,40,211862
21,Hey Girl,spotify:track:13zqsB5wAfjGMziTR8BKSG,I WILL,spotify:album:7oDeUhWPlVzjSOJYDvbD33,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2015-03-23,22,252205
22,Primadonna,spotify:track:0MPwyCj9niSEQ9oQkdQDAQ,Japan Special Album Vol.1,spotify:album:69HCDHFtTqiCAg8qen5YC6,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2010-04-14,5,281664
23,DORADORA Instrumental,spotify:track:0RVeTYuZiFSCXI5ZLfMAR7,DORADORA,spotify:album:5uppLPLH6UkXptmSgZ4ZAz,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,2012-04-25,1,213707
24,SOMEDAY New version,spotify:track:1Bw9GxjdI7gkFMxsyuOoJz,SOMEDAY,spotify:album:2t3dmMaRcLHxI0vlP8kXDr,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,2011-10-21,2,241296
25,EVEREST,spotify:track:47mOfVmqMQ2nnk7zV5b9Dg,Higher (Jun. K Version),spotify:album:72Tfp3eDiI7bFlQLvh5MpE,2PM,spotify:artist:5iRPbkcPmqAFFwDUj6ywVS,2015-10-21,7,227440
26,MEET ME (Instrumental),spotify:track:041Ty7MejzgtPEebJIuh2I,MY SWAGGER,spotify:album:17wcTgCSx5LrL3L64IYIFz,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2017-05-24,9,217640
27,Falling Star,spotify:track:7bvgfOeRL8DECUbhsGy1ch,THANKS TO,spotify:album:38ZDY8JrXknqQ85paMmnJo,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2013-09-23,18,192848
28,Like a Doll,spotify:track:5kgtVTlii0N3hy5wahI535,Jump Up,spotify:album:1VUYlrA1ZIGsmIGPsiwK2C,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-02-11,12,260893
29,A Song For You,spotify:track:6SFxB3ZmFXlupQ3zfQpEOW,Japan Special Album Vol.1,spotify:album:69HCDHFtTqiCAg8qen5YC6,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2010-04-14,8,340872
30,The One,spotify:track:2kmhGkQ6XyBQIEK2TItNDF,Japan Special Album Vol.1,spotify:album:69HCDHFtTqiCAg8qen5YC6,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2010-04-14,9,242568
31,My Name Is V,spotify:track:5HZyGWIf00EHuWUYmDug5b,Only Diva,spotify:album:74OewP8N2dDXLOVfUfo9Fx,Diva,spotify:artist:0CI6MkDddUbiuI8T7V5ZcF,2005-08-29,0,211565
