,name,album,artist,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Some,Red Diary Page.1,BOL4,2017-09-28,74,0.417,0.659,181373,0.799,0.0,1,0.0562,-2.849,0,0.0629,103.99,4,0.782
1,Galaxy 우주를 줄게,Full Album RED PLANET,BOL4,2016-08-29,64,0.681,0.606,213853,0.815,0.0,0,0.0919,-2.407,1,0.132,166.024,4,0.707
2,LOVE SCENARIO,Return,iKON,2018-01-25,75,0.331,0.806,209648,0.707,0.0,7,0.294,-4.623,1,0.0307,118.011,4,0.746
3,Spring Day,You Never Walk Alone,BTS,2017-02-13,77,0.0063,0.539,274097,0.846,1.68e-06,8,0.13,-3.192,1,0.0354,106.992,4,0.46
4,DINOSAUR,SUMMER EPISODE,AKMU,2017-07-20,61,0.303,0.767,240571,0.755,3.62e-05,11,0.105,-3.938,0,0.03,120.978,4,0.631
5,Travel,Red Diary Page.2,BOL4,2018-05-24,55,0.46,0.708,220980,0.889,0.0,1,0.113,-2.879,1,0.0622,128.05,4,0.645
6,Gashina,SUNMI SPECIAL EDITION [Gashina],SUNMI,2017-08-22,70,0.0556,0.722,180000,0.833,0.0,6,0.195,-3.915,1,0.094,93.941,4,0.53
7,Cross My Mind,Twin Forks,Twin Forks,2014-02-25,50,0.406,0.612,214610,0.848,0.0,11,0.248,-5.068,1,0.0296,90.942,4,0.516
8,Goodbye,Goodbye,2NE1,2017-01-21,53,0.329,0.653,231445,0.488,0.0,1,0.163,-4.042,1,0.0328,151.594,4,0.492
9,La Vie en Rose,COLOR*IZ,IZ*ONE,2018-10-29,68,0.0899,0.698,218993,0.908,0.0,9,0.115,-1.211,0,0.0548,115.975,4,0.606
10,Egotistic,RED MOON,MAMAMOO,2018-07-16,69,0.315,0.616,196018,0.833,0.0,3,0.175,-3.314,0,0.067,97.898,4,0.595
11,TWIT,TWIT,Hwa Sa,2019-02-13,68,0.122,0.679,190785,0.813,2.83e-06,5,0.263,-3.367,0,0.199,136.067,4,0.584
12,HIP,reality in BLACK,MAMAMOO,2019-11-14,77,0.0376,0.782,195306,0.731,3.15e-05,3,0.0956,-4.581,0,0.143,138.032,4,0.824
13,Wind flower,BLUE;S,MAMAMOO,2018-11-29,63,0.656,0.735,236816,0.795,0.0,0,0.0665,-2.918,1,0.0518,113.988,4,0.825
